Title,Link
A01:2021-Broken Access Control,https://owasp.org/Top10/A01_2021-Broken_Access_Control/
A02:2021-Cryptographic Failures,https://owasp.org/Top10/A02_2021-Cryptographic_Failures/
A03:2021-Injection,https://owasp.org/Top10/A03_2021-Injection/
A04:2021-Insecure Design,https://owasp.org/Top10/A04_2021-Insecure_Design/
A05:2021-Security Misconfiguration,https://owasp.org/Top10/A05_2021-Security_Misconfiguration/
A06:2021-Vulnerable and Outdated Components,https://owasp.org/Top10/A06_2021-Vulnerable_and_Outdated_Components/
A07:2021-Identification and Authentication Failures,https://owasp.org/Top10/A07_2021-Identification_and_Authentication_Failures/
A08:2021-Software and Data Integrity Failures,https://owasp.org/Top10/A08_2021-Software_and_Data_Integrity_Failures/
A09:2021-Security Logging and Monitoring Failures,https://owasp.org/Top10/A09_2021-Security_Logging_and_Monitoring_Failures/
A10:2021-Server-Side Request Forgery,https://owasp.org/Top10/A10_2021-Server-Side_Request_Forgery_%28SSRF%29/
,https://owasp.org/Top10/ar/
,https://owasp.org/Top10/es/
,https://owasp.org/Top10/fr/
,https://owasp.org/Top10/id/
,https://owasp.org/Top10/it/
,https://owasp.org/Top10/ja/
,https://owasp.org/Top10/pt_BR/
,https://owasp.org/Top10/zh_CN/
,https://owasp.org/Top10/zh_TW/
,https://github.com/OWASP/Top10/tree/master/2017/fr
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASP_Top_10-2017-pt_pt.pdf
,https://wiki.owasp.org/index.php/OWASP_Top10_Hebrew
,https://wiki.owasp.org/?title=Special:Redirect/file/OWASPTop10_2010_DE_Version_1_0.pdf
,https://wiki.owasp.org/index.php/OWASP_Top10_Hebrew
,https://bit.ly/OWASPTop10Data
OWASP Top 10:2021,https://owasp.org/Top10
OWASP Top 10:2021 - 20th Anniversary Presentation (PPTX),https://github.com/OWASP/Top10/raw/master/2021/Presentations/20th%20Anniversary%20-%20OWASP%20Top%2010%202021.pptx
repo,https://github.com/OWASP/Top10
